District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Blackstone-Millville	06220000	ELA	         394	46	          42	5	         352	41	         390	46	          71	8	         855	     498.5	          49.1	         638
Blackstone-Millville	06220000	MATH	         371	43	          31	4	         340	40	         399	47	          83	10	         853	     496.4	          50.6	         637
Blackstone-Millville	06220000	SCI	         131	47	          15	5	         116	42	         127	46	          20	7	         278	     499.6		
Boston	00350000	ELA	       7,414	35	       1,186	6	       6,228	30	       9,012	43	       4,569	22	      20,995	     491.9	          48.6	      15,062
Boston	00350000	MATH	       6,938	33	       1,068	5	       5,870	28	       9,155	44	       4,916	23	      21,009	     490.0	          47.9	      15,074
Boston	00350000	SCI	       1,657	24	         178	3	       1,479	22	       3,183	46	       2,019	29	       6,859	     484.4		
Boston Collegiate Charter (District)	04490000	ELA	         210	55	          33	9	         177	46	         142	37	          32	8	         384	     501.9	          59.9	         335
Boston Collegiate Charter (District)	04490000	MATH	         241	63	          35	9	         206	54	         133	35	          11	3	         385	     506.0	          76.3	         336
Boston Collegiate Charter (District)	04490000	SCI	          96	51	          14	7	          82	43	          81	43	          13	7	         190	     500.2		
Boston Green Academy Horace Mann Charter School (District)	04110000	ELA	          46	30	           5	3	          41	26	          69	45	          40	26	         155	     486.7	          47.7	         145
Boston Green Academy Horace Mann Charter School (District)	04110000	MATH	          19	12	           1	1	          18	12	          86	55	          50	32	         155	     478.9	          40.0	         145
Boston Green Academy Horace Mann Charter School (District)	04110000	SCI	           6	11	           0	0	           6	11	          26	46	          24	43	          56	     476.5		
Boston Preparatory Charter Public (District)	04160000	ELA	         104	43	          12	5	          92	38	         112	46	          27	11	         243	     496.5	          62.2	         213
Boston Preparatory Charter Public (District)	04160000	MATH	         118	49	          16	7	         102	42	         102	42	          23	9	         243	     498.7	          70.3	         213
Boston Preparatory Charter Public (District)	04160000	SCI	          20	31	           2	3	          18	28	          40	63	           4	6	          64	     495.4		
Boston Renaissance Charter Public (District)	04810000	ELA	         134	32	          13	3	         121	29	         229	55	          54	13	         417	     491.9	          39.2	         277
Boston Renaissance Charter Public (District)	04810000	MATH	         143	34	          21	5	         122	29	         217	52	          56	13	         416	     493.1	          46.5	         276
Boston Renaissance Charter Public (District)	04810000	SCI	          23	24	           2	2	          21	22	          50	52	          24	25	          97	     484.6		
Bourne	00360000	ELA	         494	49	          66	7	         428	42	         438	43	          80	8	       1,012	     499.5	          49.6	         784
Bourne	00360000	MATH	         415	41	          42	4	         373	37	         486	48	         108	11	       1,009	     495.1	          49.8	         786
Bourne	00360000	SCI	         154	45	          14	4	         140	41	         165	48	          23	7	         342	     497.3		
Boxford	00380000	ELA	         285	68	          51	12	         234	56	         122	29	          10	2	         417	     508.3	          56.3	         289
Boxford	00380000	MATH	         261	63	          45	11	         216	52	         137	33	          19	5	         417	     506.4	          57.5	         290
